"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"VES120PS12","XP Power","1470-3639-ND","","","Box","Active","1","62.00000","$62.00","498","21 Weeks","EXTERNAL PSU, 120W, LEVEL VI","RoHS Compliant","Lead free","Not Available","Tariff Eligible"
"PD-40S","CUI Inc.","CP-7240-ND","","","Tray","Active","1","2.59000","$2.59","12445","14 Weeks","CONN JACK FMALE DIN 4POS SOLDER","RoHS Compliant","Lead free","Not Available","Tariff Eligible"
"OSTTA020161","On Shore Technology Inc.","ED2561-ND","","","Bulk","Active","8","0.69000","$5.52","16887","12 Weeks","TERM BLK 2POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"OSTTA040161","On Shore Technology Inc.","ED2563-ND","","","Bulk","Active","1","1.05000","$1.05","976","12 Weeks","TERM BLK 4POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61300411121","Wurth Electronics Inc.","732-5317-ND","","","Bag","Active","32","0.12720","$4.07","16252","14 Weeks","CONN HEADER VERT 4POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"PPTC081LFBN-RC","Sullins Connector Solutions","S7006-ND","","","Tray","Active","64","0.60800","$38.91","21240","5 Weeks","CONN HDR 8POS 0.1 TIN PCB","RoHS Compliant","Lead free","REACH Unaffected",""
"0ZCF0100AF2A","Bel Fuse Inc.","507-2070-1-ND","","","Cut Tape (CT)","Active","32","0.49100","$15.71","9184","18 Weeks","PTC RESET FUSE 60V 1A 2920","RoHS Compliant","Lead free","REACH Unaffected",""
"UHE2A470MPD1TD","Nichicon","493-14555-1-ND","","","Cut Tape (CT)","Active","36","0.36000","$12.96","50826","16 Weeks","CAP ALUM 47UF 20% 100V RADIAL","RoHS Compliant","Lead free","REACH Unaffected",""
"M20-9760442","Harwin Inc.","952-3276-ND","","","Bulk","Active","16","0.31900","$5.10","3637","10 Weeks","CONN HEADER VERT 8POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"SDS-50J","CUI Inc.","CP-2350-ND","","","Tray","Active","1","1.96000","$1.96","24579","14 Weeks","CONN RCPT FMALE DIN 5POS SOLDER","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"A 08-LC-TT","Assmann WSW Components","AE9986-ND","","","Tube","Active","1","0.18000","$0.18","100334","20 Weeks","CONN IC DIP SOCKET 8POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"1N914","ON Semiconductor","1N914FS-ND","","","Bulk","Active","1","0.10000","$0.10","50588","17 Weeks","DIODE GEN PURP 100V 200MA DO35","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61304021121","Wurth Electronics Inc.","732-5310-ND","","","Bag","Active","1","1.89000","$1.89","924","14 Weeks","CONN HEADER VERT 40POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"20SVPF120M","Panasonic Electronic Components","P16498CT-ND","","","Cut Tape (CT)","Active","1","1.29000","$1.29","34887","9 Weeks","CAP ALUM POLY 120UF 20% 20V SMD","RoHS Compliant","Lead free","Not Available",""
"UUD1A471MNL1GS","Nichicon","493-2252-1-ND","","","Cut Tape (CT)","Active","1","0.68000","$0.68","34069","18 Weeks","CAP ALUM 470UF 20% 10V SMD","RoHS Compliant","Lead free","REACH Unaffected",""
"B540C-13-F","Diodes Incorporated","B540C-FDICT-ND","","","Cut Tape (CT)","Active","1","0.50000","$0.50","259459","13 Weeks","DIODE SCHOTTKY 40V 5A SMC","RoHS Compliant","Contains lead","REACH Unaffected",""
"PM2110-101K-RC","Bourns Inc.","M8767-ND","","","Bulk","Active","1","2.96000","$2.96","2757","20 Weeks","FIXED IND 100UH 5.4A 32 MOHM SMD","RoHS Compliant","Lead free","REACH Unaffected",""
"LM2576SX-5.0/NOPB","Texas Instruments","LM2576SX-5.0/NOPBCT-ND","","","Cut Tape (CT)","Active","1","2.86000","$2.86","41842","16 Weeks","IC REG BUCK 5V 3A TO263-5","RoHS Compliant","Contains lead","REACH Unaffected",""
"1988","Adafruit Industries LLC","1528-2235-ND","","","Bulk","Active","1","2.95000","$2.95","348","12 Weeks","GPIO RIBBON CABLE FOR RASPBERRY","Not Available","Not Available","Not Available","Tariff Eligible"
"71600-008LF","Amphenol ICC (FCI)","609-3568-ND","","","Tube","Active","16","0.87000","$13.92","6728","8 Weeks","CONN RCPT 8POS IDC 28-30AWG GOLD","RoHS Compliant","Lead free","Not Available",""
"28L0138-50R-10","Laird-Signal Integrity Products","240-2512-1-ND","","","Cut Tape (CT)","Active","10","0.07700","$0.77","44108","8 Weeks","FERRITE BEAD 153 OHM AXIAL 1LN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CFM14JT220R","Stackpole Electronics Inc","S220QCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","37986","15 Weeks","RES 220 OHM 1/4W 5% CF MINI","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CFM14JT4K70","Stackpole Electronics Inc","S4.7KQCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","65820","15 Weeks","RES 4.7K OHM 1/4W 5% CF MINI","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"3801/04","3M","3M156838-10-ND","","","Bulk","Active","1","3.79000","$3.79","9","Not Available","CBL RIBN 4COND 0.050 GRAY 10'","RoHS Compliant","Lead free","Not Available",""
"6N138","Lite-On Inc.","160-1795-ND","","","Tube","Active","1","0.81000","$0.81","4836","10 Weeks","OPTOISO 5KV DARL W/BASE 8DIP","RoHS Compliant","Lead free","Not Available",""